monastery_name,notes,lat,lon,x,y
Angers,,47.469004,-0.531997,-59221.6351,6018966.301
La Coruna, ,43.300996,-8.378998,-932745.7907,5357899.307
Santander,,43.428004,-3.819004,-425129.5806,5377346.995
Leon,,42.601003,-5.572996,-620383.0769,5251436.289
Burgos,,42.341002,-3.696001,-411436.9493,5212197.551
Toro,,41.524999,-5.394004,-600457.7786,5090090.042
Vitoria,,42.883999,-2.723002,-303123.1961,5294331.946
Córdoba,,37.884004,-4.777,-531773.2075,4563052.403
Jaen,,37.771,-3.790996,-422011.7443,4547126.111
Murcia,,37.988296,-1.484782,-165285.1762,4577772.562
Gerona,,41.976997,2.813996,313252.6018,5157534.329
Lerida,,41.622001,0.623999,69463.2509,5104524.132
Palma De Mallorca,,39.571,2.647001,294662.8034,4803795.61
Digne,,44.096002,6.231998,693742.844,5480310.753
Nice,,43.72,7.261004,808291.2679,5422213.29
Florence,,43.782001,11.207999,1247668.742,5431768.081
Reggio di Calabria, ,38.112001,15.646997,1741815.738,4595259.902
Siracusa,,37.071997,15.291002,1702186.556,4449146.998
Ferrara,,44.841004,11.610002,1292419.511,5596525.454
Ravenna,,44.419003,12.208997,1359099.329,5530514.487
Salerno,,40.723,14.926997,1661665.705,4971569.683
Taranto,,40.467004,17.243003,1919482.314,4934039.92
Lübeck,,53.869003,10.647002,1185218.841,7145385.963
Verdun,,49.161004,5.387996,599788.9711,6302224.691
Sens,,48.196996,3.284003,365573.5417,6139690.747
Le Mans,,47.995,0.199001,22152.69,6106023.053
Osnabrück,,52.279999,8.047001,895788.0537,6850912.067
Aachen,,50.766001,6.092003,678158.6719,6580005.922
Dortmund,,51.514,7.465997,831110.9843,6712722.98
Lüneberg,,53.250001,10.408997,1158724.246,7029375.889
Braunschweig,,52.270999,10.514,1170413.126,6849274.656
Grenoble,,45.180997,5.715002,636191.1125,5650060.909
Limburg,,50.382997,8.055002,896678.721,6512870.282
Würzburg, ,49.793002,9.946001,1107183.767,6410504.309
Worms,,49.596001,8.464997,942319.1556,6376602.087
Nuremberg, ,49.445998,11.063999,1231638.735,6350879.56
Ulm,,48.4,9.965999,1109409.934,6173660.452
Brescia,,45.541996,10.222004,1137908.28,5707255.091
Verona,,45.437002,10.992998,1223734.94,5690582.884
Padova,,45.411001,11.865998,1320916.855,5686458.928
Wiener Neustadt,,47.816998,16.238,1807605.892,6076463.642
Roskilde,,55.6399,12.0838,1345162.463,7487061.381
Fribourg,,46.8063,7.1623,797303.5889,5910514.415
Alessandria, ,44.9126,8.6148,958995.1493,5607772.623
Vercelli,,45.3236,8.4223,937566.1473,5672610.363
Como,,45.8077,9.0768,1010424.754,5749586.38
Pavia,,45.1901,9.1642,1020154.078,5651498.653
Spoleto,,42.7395,12.738,1417987.674,5272404.773
Iglesias,,39.3164,8.5317,949744.4996,4767095.027
Agrigento,,37.3114,13.5851,1512286.414,4482601.273
Prenzlau,,53.3138,13.8618,1543088.517,7041254.682
Brandenburg, ,52.4111,12.5497,1397026.214,6874801.676
Bautzen,,51.1812,14.433,1606674.211,6653408.71
Santarem,,39.2322,-8.686,-966921.097,4754987.018
Castiello de Jaca,,42.6312,-0.5485,-61058.7407,5256004.143
Cuenca,,40.0736,-2.1375,-237945.4116,4876643.402
Muret,,43.4602,1.3246,147453.7975,5382283.382
Carcassonne,,43.2154,2.3544,262090.6091,5344815.605
Mende,,44.5211,3.5038,390041.2318,5546440.951
Béziers, ,43.348,3.216,358003.4824,5365091.897
Vienne,,45.5245,4.8716,542304.0313,5704474.707
Mâcon, ,46.308,4.8297,537639.7447,5829844.564
Toul,,48.6792,5.8957,656306.3219,6220602.615
Bonifacio,,41.3864,9.1587,1019541.82,5069503.728
Porto,,41.166,-8.585001,-955677.9398,5036857.545
Pamplona,,42.813,-1.653003,-184011.4522,5283551.716
Valladolid,,41.650002,-4.721004,-525539.7613,5108694.774
Namur,,50.464998,4.868001,541903.3925,6527198.167
Utrecht,,52.100001,5.112,569065.2369,6818227.153
Geneva,,46.202004,6.134004,682834.2018,5812779.807
Basel,,47.547,7.576002,843356.6849,6031819.952
Luxembourg,,49.608,6.12,681275.2837,6378663.091
Strasbourg,,48.582999,7.767999,864729.6932,6204398.989
Zurich,,47.401002,8.533998,950000.3118,6007775.206
Alborg,,57.034998,9.932004,1105625.628,7767275.327
Trieste,,45.645003,13.777002,1533648.847,5723642.063
Badajoz,,38.878,-6.963001,-775117.7257,4704211.155
Salamanca,,40.966999,-5.657002,-629734.5821,5007475.242
Anagni,,41.741998,13.151,1463962.623,5122410.003
Trier,,49.750999,6.640004,739161.8641,6403264.406
Augsburg,,48.367996,10.889003,1212158.269,6168296.077
Regensberg,,49.020001,12.097001,1346631.991,6278255.827
Arezzo,,43.4629,11.8815,1322642.53,5382697.474
Tournai,,50.6049,3.3876,377105.907,6551700.452
Urbino,,43.72467,12.636719,1406713.124,5422932.626
Viborg,,56.4478,9.3905,1045345.678,7648081.377
Oristano, ,39.9053,8.5866,955855.9396,4852190.261
Fulda,,50.5476,9.6762,1077149.657,6541656.204
Herford,,52.1175,8.6634,964405.2765,6821398.908
Zamora,,41.5061,-5.7505,-640142.7318,5087280.353
Palencia,,42.0095,-4.5333,-504644.6476,5162402.604
Saintes,,45.7474,-0.6365,-70854.8559,5739961.884
Dax,,43.707,-1.0528,-117197.1599,5420211.153
Tarbes,,43.234,0.0732,8148.5867,5347657.128
Aurillac,,44.9295,2.443,271953.516,5610429.524
Rodez,,44.3513,2.5739,286525.2374,5519968.594
Sées, ,48.6057,0.171,19035.6329,6208219.851
Chartres,,48.4494,1.4829,165075.6729,6181947.3
Évreux, ,49.0198,1.1543,128496.0882,6278221.708
Wissembourg,,49.0337,7.9467,884622.5975,6280581.515
Die,,44.7548,5.3696,597741.1378,5583002.011
Embrun,,44.5628,6.4915,722630.4745,5552953.904
Liège, ,50.623002,5.569002,619938.4669,6554876.135
Gent,,51.048,3.735999,415889.5063,6629788.763
Odense,,55.398996,10.392003,1156832.482,7439691.375
Astorga,,42.461998,-6.047998,-673260.0577,5230437.708
Vich, ,41.935003,2.250002,250469.0769,5151248.176
Uzès, ,44.020996,4.412,491141.5934,5468691.938
Nîmes, ,43.846,4.357001,485019.1327,5441641.175
Tivoli,,41.961004,12.789002,1423665.19,5155139.821
Châlons-sur-Marne,,48.963004,4.364003,485798.5918,6268586.277
Hildesheim,,52.155997,9.954002,1108074.434,6828381.009
Paderborn,,51.712999,8.752997,974379.169,6748397.424
Albenga,,44.045998,8.211998,914155.4358,5472563.241
Alghero,,40.561999,8.314004,925510.6917,4947949.706
Parma,,44.806003,10.324001,1149262.534,5591032.158
Sassari,,40.729003,8.561,953006.1607,4972451.469
Trapani,,38.022001,12.522998,1394053.761,4582534.283
Pescina,,42.026002,13.647998,1519288.188,5164875.214
Forli,,44.222002,12.044999,1340843.155,5499862.025
Città di Castello,,43.461997,12.239003,1362439.582,5382558.981
Gubbio,,43.351,12.573002,1399620.18,5365551.149
Todi,,42.784999,12.402002,1380584.547,5279303.55
